Horizon,Modèle,Famille,MAE,RMSE,R2,nMAE(%),nRMSE(%),sMAPE(%),Skill(%),Cell
+15min,1. Persistance simple,Baseline,0.0136700029603253,0.0410655562315832,0.961865238195436,1.367000296032532,4.106555623158324,13.608547222663738,7.315282017916758e-05,
+15min,2. Persistance corrigée par le soleil,Baseline,0.0149028453036066,0.0763080986767105,0.8683239215727451,1.4902845303606695,7.630809867671057,12.565972312076465,-9.018516272511532,
+15min,3. Moyenne par heure,Baseline,0.1049251739788319,0.1927213553184158,0.1601044098219498,10.492517397883198,19.272135531841585,124.31002995996508,-667.557238485127,
+15min,4. Régression Ridge,Baseline,0.0266999062637644,0.0619712720839545,0.9131546758211386,2.669990626376446,6.197127208395452,52.6225877465222,-95.31734418435444,
+15min,5. Forêt aléatoire,ML-Obs,0.0163868355264473,0.050566457111069,0.9421783246144836,1.638683552644734,5.056645711106907,125.70320401033786,-19.87432326514316,
+15min,6. XGBoost observations,ML-Obs,0.0199721535653689,0.0514651486089414,0.9401047915113468,1.9972153565368955,5.146514860894149,144.34559172053494,-46.10193584552136,
+15min,7. XGBoost météo future idéale (ORACLE),ML-NWP-Oracle,0.0082547261788247,0.0294574231506186,0.9803916277471956,0.825472617882476,2.945742315061861,135.0473562132392,39.67032740385616,
+1h,1. Persistance simple,Baseline,0.042884856316754,0.1040765126101664,0.7560259421151918,4.288485631675401,10.407651261016648,36.73578388826383,2.331824920931425e-05,
+1h,2. Persistance corrigée par le soleil,Baseline,0.0311999867326638,0.1111322154951549,0.721824977762856,3.119998673266383,11.113221549515496,29.476422236201444,27.247093410024693,
+1h,3. Moyenne par heure,Baseline,0.114855767035015,0.2047311103480464,0.0559263629048661,11.485576703501502,20.47311103480464,124.27238947991968,-167.82353986292787,
+1h,4. Régression Ridge,Baseline,0.0536525797532513,0.1058910651778462,0.747444505893436,5.36525797532513,10.589106517784623,67.48885419401346,-25.1084225306087,
+1h,5. Forêt aléatoire,ML-Obs,0.0282274037309978,0.0742388212759121,0.8758632639516389,2.822740373099788,7.4238821275912175,140.18686530146076,34.178636532276755,
+1h,6. XGBoost observations,ML-Obs,0.0375695529809448,0.0743824577532557,0.8753824423987122,3.756955298094485,7.438245775325579,151.29897536187462,12.394380097980171,
+1h,7. XGBoost météo future idéale (ORACLE),ML-NWP-Oracle,0.0089643704727692,0.0333615393029831,0.9746753230805434,0.8964370472769283,3.3361539302983174,136.38490241807935,79.05258676375682,
+6h,1. Persistance simple,Baseline,0.1831771680244843,0.3173325266701324,-1.3122853740362048,18.31771680244844,31.733252667013247,113.10306735017694,5.459195351331658e-06,
+6h,2. Persistance corrigée par le soleil,Baseline,0.0942681121519385,0.2236971530979478,-0.1490347597841799,9.426811215193853,22.36971530979478,105.74135776985332,48.53719597135721,
+6h,3. Moyenne par heure,Baseline,0.2484458325173439,0.3622083105979748,-2.0125140013774265,24.8445832517344,36.22083105979749,165.57461741674868,-35.63143356435783,
+6h,4. Régression Ridge,Baseline,0.1124105536516256,0.1652866637402509,0.3726818109152345,11.241055365162568,16.528666374025093,107.67631563249388,38.63288272920094,
+6h,5. Forêt aléatoire,ML-Obs,0.0542644025674416,0.126740638895287,0.6311548842639106,5.426440256744168,12.674063889528703,99.99184613183353,70.37600253881604,
+6h,6. XGBoost observations,ML-Obs,0.0654502378614751,0.1261398149795623,0.6346436734414859,6.5450237861475165,12.613981497956235,156.66177162597455,64.26943652733488,
+6h,7. XGBoost météo future idéale (ORACLE),ML-NWP-Oracle,0.0094301167744014,0.0221854390157439,0.9887174061742212,0.9430116774401492,2.218543901574399,134.24015517079826,94.8632766663912,
+15min,LSTM (contexte 2 h),DeepLearning,0.0178354606032371,0.0522344879379671,0.9383006691932678,1.7835460603237152,5.2234487937967184,144.6269,-30.471422079786347,LSTM
+15min,GRU (contexte 2 h),DeepLearning,0.0262631569057703,0.0581973895504878,0.9234098792076112,2.62631569057703,5.8197389550487895,147.17215,-92.1223962771381,GRU
+1h,LSTM (contexte 2 h),DeepLearning,0.0327728800475597,0.0770325182168105,0.8663446307182312,3.277288004755974,7.703251821681054,151.26128,23.579381921873875,LSTM
+1h,GRU (contexte 2 h),DeepLearning,0.0489909723401069,0.0880465845688816,0.8253923654556274,4.899097234010696,8.804658456888168,154.06555,-14.238369683903528,GRU
+6h,LSTM (contexte 2 h),DeepLearning,0.0749872997403144,0.1410303036877568,0.5432935953140259,7.498729974031448,14.103030368775682,158.6427,59.0629681195739,LSTM
+6h,GRU (contexte 2 h),DeepLearning,0.0813053399324417,0.1379061430825433,0.5633037090301514,8.130533993244171,13.790614308254334,159.44362,55.61382654943312,GRU
